message,appropriate
I hate you!,0
yo I hate you :),0
hey I hate you,0
I hate you.,0
I hate you now,0
I hate you!,0
I hate you :),0
hey I hate you!,0
I hate you :),0
I hate you now,0
hey I hate you today,0
I hate you lol,0
I hate you,0
hi I hate you please,0
yo I hate you,0
hey I hate you please,0
I hate you.,0
hi I hate you.,0
yo I hate you please,0
I hate you lol,0
Shut up today,0
Shut up.,0
hi Shut up.,0
Shut up lol,0
Shut up please,0
Shut up :),0
Shut up!,0
hey Shut up lol,0
Shut up :),0
Shut up now,0
yo Shut up today,0
yo Shut up,0
yo Shut up please,0
hey Shut up lol,0
Shut up,0
Shut up :),0
hey Shut up today,0
hi Shut up lol,0
Shut up :),0
yo Shut up!,0
hey You are dumb!,0
yo You are dumb now,0
yo You are dumb.,0
hey You are dumb please,0
hey You are dumb today,0
hi You are dumb today,0
hey You are dumb lol,0
hey You are dumb :),0
You are dumb lol,0
You are dumb now,0
You are dumb now,0
yo You are dumb :),0
hey You are dumb today,0
You are dumb!,0
You are dumb,0
hey You are dumb now,0
You are dumb.,0
hi You are dumb now,0
You are dumb today,0
You are dumb lol,0
Go away!,0
Go away lol,0
yo Go away.,0
yo Go away now,0
hey Go away today,0
Go away lol,0
Go away,0
Go away.,0
yo Go away :),0
hey Go away please,0
hey Go away!,0
Go away please,0
hi Go away!,0
Go away please,0
yo Go away :),0
Go away :),0
Go away.,0
Go away today,0
Go away,0
hey Go away today,0
I don't like you,0
yo I don't like you now,0
hey I don't like you :),0
yo I don't like you now,0
yo I don't like you today,0
I don't like you today,0
I don't like you :),0
hey I don't like you.,0
yo I don't like you!,0
I don't like you :),0
I don't like you :),0
I don't like you.,0
I don't like you :),0
I don't like you!,0
yo I don't like you.,0
I don't like you :),0
yo I don't like you today,0
hey I don't like you,0
I don't like you today,0
hey I don't like you today,0
hi Leave me alone idiot :),0
Leave me alone idiot.,0
hi Leave me alone idiot please,0
hi Leave me alone idiot now,0
hi Leave me alone idiot!,0
Leave me alone idiot!,0
hi Leave me alone idiot please,0
Leave me alone idiot :),0
hey Leave me alone idiot :),0
Leave me alone idiot today,0
hey Leave me alone idiot now,0
hey Leave me alone idiot lol,0
hi Leave me alone idiot :),0
Leave me alone idiot today,0
Leave me alone idiot.,0
Leave me alone idiot!,0
Leave me alone idiot :),0
hey Leave me alone idiot now,0
hi Leave me alone idiot today,0
hey Leave me alone idiot now,0
You're so annoying,0
hi You're so annoying!,0
hi You're so annoying lol,0
hi You're so annoying lol,0
hi You're so annoying today,0
hey You're so annoying :),0
yo You're so annoying :),0
You're so annoying!,0
yo You're so annoying!,0
You're so annoying today,0
You're so annoying,0
You're so annoying.,0
hey You're so annoying.,0
You're so annoying.,0
hey You're so annoying now,0
You're so annoying :),0
You're so annoying!,0
You're so annoying.,0
hi You're so annoying please,0
yo You're so annoying :),0
yo Nobody likes you :),0
yo Nobody likes you now,0
hey Nobody likes you lol,0
hi Nobody likes you please,0
Nobody likes you!,0
hi Nobody likes you.,0
Nobody likes you :),0
Nobody likes you lol,0
hey Nobody likes you please,0
Nobody likes you :),0
yo Nobody likes you lol,0
hey Nobody likes you today,0
Nobody likes you lol,0
Nobody likes you!,0
Nobody likes you lol,0
Nobody likes you,0
yo Nobody likes you.,0
Nobody likes you,0
yo Nobody likes you lol,0
Nobody likes you :),0
yo You're stupid :),0
yo You're stupid today,0
yo You're stupid!,0
You're stupid now,0
yo You're stupid!,0
You're stupid please,0
hey You're stupid lol,0
hey You're stupid today,0
You're stupid now,0
You're stupid!,0
You're stupid.,0
hey You're stupid!,0
yo You're stupid,0
hi You're stupid,0
You're stupid lol,0
yo You're stupid!,0
yo You're stupid :),0
hey You're stupid.,0
yo You're stupid now,0
You're stupid,0
hey Stop talking loser,0
hey Stop talking loser now,0
Stop talking loser,0
yo Stop talking loser now,0
hey Stop talking loser lol,0
hey Stop talking loser.,0
hi Stop talking loser!,0
hi Stop talking loser :),0
hey Stop talking loser today,0
yo Stop talking loser lol,0
hey Stop talking loser :),0
Stop talking loser :),0
hi Stop talking loser please,0
yo Stop talking loser.,0
yo Stop talking loser please,0
Stop talking loser now,0
Stop talking loser please,0
Stop talking loser.,0
yo Stop talking loser,0
Stop talking loser lol,0
Hello how are you.,1
Hello how are you now,1
yo Hello how are you please,1
hi Hello how are you.,1
hi Hello how are you :),1
yo Hello how are you!,1
hi Hello how are you!,1
Hello how are you :),1
yo Hello how are you now,1
Hello how are you please,1
Hello how are you please,1
Hello how are you lol,1
Hello how are you lol,1
hi Hello how are you please,1
hi Hello how are you lol,1
Hello how are you,1
hey Hello how are you now,1
hi Hello how are you,1
Hello how are you lol,1
hi Hello how are you!,1
yo Let's play together lol,1
hey Let's play together now,1
Let's play together please,1
hi Let's play together today,1
hi Let's play together :),1
Let's play together today,1
hey Let's play together.,1
yo Let's play together please,1
Let's play together :),1
yo Let's play together :),1
hey Let's play together,1
Let's play together!,1
hey Let's play together today,1
Let's play together.,1
hi Let's play together now,1
Let's play together :),1
hi Let's play together today,1
hi Let's play together :),1
hey Let's play together!,1
Let's play together now,1
hey Good job,1
Good job today,1
Good job :),1
Good job today,1
hey Good job today,1
Good job please,1
hi Good job now,1
Good job today,1
hey Good job today,1
hi Good job lol,1
hey Good job lol,1
Good job today,1
hey Good job lol,1
hi Good job.,1
yo Good job :),1
yo Good job please,1
yo Good job.,1
hey Good job,1
hey Good job now,1
hey Good job :),1
Have a nice day now,1
hi Have a nice day please,1
Have a nice day today,1
hi Have a nice day!,1
hey Have a nice day now,1
hi Have a nice day!,1
Have a nice day now,1
hi Have a nice day!,1
